old_source_name,new_source_name,old_text_name,new_text_name,old_year,new_year,old_title,new_title,doi,metadata_source,confidence
2018_adventitial_stromal_cells_define_group_2_innate_lymphoid_cell_tissue_niches.md,2019_adventitial_stromal_cells_define_group_2_innate_lymphoid_cell_tissue_niches.md,2018_adventitial_stromal_cells_define_group_2_innate_lymphoid_cell_tissue_niches.txt,2019_adventitial_stromal_cells_define_group_2_innate_lymphoid_cell_tissue_niches.txt,2018,2019,Adventitial Stromal Cells Define Group 2 Innate Lymphoid Cell Tissue Niches,Adventitial Stromal Cells Define Group 2 Innate Lymphoid Cell Tissue Niches,10.1016/j.immuni.2019.02.002,pubmed,high
2007_chitin_activates_parallel_immune_modules_that_direct_distinct_inflammatory_responses.md,2014_chitin_activates_parallel_immune_modules_that_direct_distinct_inflammatory_responses_via_innate_lymphoid_type_2.md,2007_chitin_activates_parallel_immune_modules_that_direct_distinct_inflammatory_responses.txt,2014_chitin_activates_parallel_immune_modules_that_direct_distinct_inflammatory_responses_via_innate_lymphoid_type_2.txt,2007,2014,Chitin activates parallel immune modules that direct distinct inflammatory responses via innate lymphoid type 2 and gamma delta T cells,Chitin activates parallel immune modules that direct distinct inflammatory responses via innate lymphoid type 2 and gamma delta T cells,10.1016/j.immuni.2014.02.003,pubmed,high
2009_ifn_increases_susceptibility_to_influenza_a_infection_through_suppression_of_group_ii.md,2018_ifn_gamma_increases_susceptibility_to_influenza_a_infection_through_suppression_of_group_ii_innate_lymphoid_cell.md,2009_ifn_increases_susceptibility_to_influenza_a_infection_through_suppression_of_group_ii.txt,2018_ifn_gamma_increases_susceptibility_to_influenza_a_infection_through_suppression_of_group_ii_innate_lymphoid_cell.txt,2009,2018,IFN-gamma increases susceptibility to influenza A infection through suppression of group II innate lymphoid cells,IFN-gamma increases susceptibility to influenza A infection through suppression of group II innate lymphoid cells,10.1038/mi.2017.41,nature,high
2019_interferon_gamma_constrains_type_2_lymphocyte_niche_boundaries_during_mixed_inflammat.md,2022_interferon_gamma_constrains_type_2_lymphocyte_niche_boundaries_during_mixed_inflammation.md,2019_interferon_gamma_constrains_type_2_lymphocyte_niche_boundaries_during_mixed_inflammat.txt,2022_interferon_gamma_constrains_type_2_lymphocyte_niche_boundaries_during_mixed_inflammation.txt,2019,2022,Interferon gamma constrains type 2 lymphocyte niche boundaries during mixed inflammation,Interferon gamma constrains type 2 lymphocyte niche boundaries during mixed inflammation,10.1016/j.immuni.2021.12.014,pubmed,high
2015_interleukin_33_and_interferon_counter_regulate_group_2_innate_lymphoid_cell_activatio.md,2015_interleukin_33_and_interferon_gamma_counter_regulate_group_2_innate_lymphoid_cell_activation_during_immune_pertu.md,2015_interleukin_33_and_interferon_counter_regulate_group_2_innate_lymphoid_cell_activatio.txt,2015_interleukin_33_and_interferon_gamma_counter_regulate_group_2_innate_lymphoid_cell_activation_during_immune_pertu.txt,2015,2015,Interleukin-33 and Interferon-gamma Counter-Regulate Group 2 Innate Lymphoid Cell Activation during Immune Perturbation,Interleukin-33 and Interferon-gamma Counter-Regulate Group 2 Innate Lymphoid Cell Activation during Immune Perturbation,10.1016/j.immuni.2015.05.019,crossref,high
2019_fevipiprant_a_selective_prostaglandin_d2_receptor_2_antagonist_inhibits_human_group_2_innate_lymphoid_cell_aggre.md,2019_fevipiprant_a_selective_prostaglandin_d2_receptor_2_antagonist_inhibits_human_group_2_innate_lymphoid_cell_aggre.md,2019_fevipiprant_a_selective_prostaglandin_d2_receptor_2_antagonist_inhibits_human_group_2_innate_lymphoid_cell_aggre.txt,2019_fevipiprant_a_selective_prostaglandin_d2_receptor_2_antagonist_inhibits_human_group_2_innate_lymphoid_cell_aggre.txt,2000,2019,"Fevipiprant, a selective prostaglandin D(2) receptor 2 antagonist, inhibits human group 2 innate lymphoid cell aggregation and function","Fevipiprant, a selective prostaglandin D2 receptor 2 antagonist, inhibits human group 2 innate lymphoid cell aggregation and function",10.1016/j.jaci.2019.02.015,crossref-title,high
2020_plasticity_of_innate_lymphoid_cell_subsets.md,2020_plasticity_of_innate_lymphoid_cell_subsets.md,2020_plasticity_of_innate_lymphoid_cell_subsets.txt,2020_plasticity_of_innate_lymphoid_cell_subsets.txt,2005,2020,Plasticity of innate lymphoid cell subsets,Plasticity of innate lymphoid cell subsets,10.1038/s41577-020-0282-9,crossref-doi,high
2014_development_differentiation_and_diversity_of_innate_lymphoid_cells.md,2014_development_differentiation_and_diversity_of_innate_lymphoid_cells.md,2014_development_differentiation_and_diversity_of_innate_lymphoid_cells.txt,2014_development_differentiation_and_diversity_of_innate_lymphoid_cells.txt,2009,2014,"Development, differentiation, and diversity of innate lymphoid cells","Development, Differentiation, and Diversity of Innate Lymphoid Cells",10.1016/j.immuni.2014.09.005,crossref-doi,high
2019_spatial_and_temporal_mapping_of_human_innate_lymphoid_cells_reveals_elements_of_tissue_specificity.md,2019_spatial_and_temporal_mapping_of_human_innate_lymphoid_cells_reveals_elements_of_tissue_specificity.md,2019_spatial_and_temporal_mapping_of_human_innate_lymphoid_cells_reveals_elements_of_tissue_specificity.txt,2019_spatial_and_temporal_mapping_of_human_innate_lymphoid_cells_reveals_elements_of_tissue_specificity.txt,2010,2019,Spatial and Temporal Mapping of Human Innate Lymphoid Cells Reveals Elements of Tissue Specificity,Spatial and Temporal Mapping of Human Innate Lymphoid Cells Reveals Elements of Tissue Specificity,10.1016/j.immuni.2019.01.012,crossref-doi,high
2014_differentiation_of_type_1_ilcs_from_a_common_progenitor_to_all_helper_like_innate_lymphoid_cell_lineages.md,2014_differentiation_of_type_1_ilcs_from_a_common_progenitor_to_all_helper_like_innate_lymphoid_cell_lineages.md,2014_differentiation_of_type_1_ilcs_from_a_common_progenitor_to_all_helper_like_innate_lymphoid_cell_lineages.txt,2014_differentiation_of_type_1_ilcs_from_a_common_progenitor_to_all_helper_like_innate_lymphoid_cell_lineages.txt,2013,2014,Differentiation of type 1 ILCs from a common progenitor to all helper-like innate lymphoid cell lineages,Differentiation of Type 1 ILCs from a Common Progenitor to All Helper-like Innate Lymphoid Cell Lineages,10.1016/j.cell.2014.03.030,crossref-doi,high
